"Metric 3: Carbon content of Hawai'i fossil fuel use","","","","","Notes","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"","","Tons CO2e","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","ResidentialAll Fuels","Residential","","Notes","130432.047595","134759.873767","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","CommercialAll Fuels","Commercial","","Notes","574565.244394","538022.01232","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IndustrialAll Fuels","Industrial","","Notes","2207067.66503","2073907.21875","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","PowerAll Fuels","Power","","Notes","8715078.59135","7915826.67597","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Ground and Water TransportationAll Fuels","Ground and Water Transportation","","Notes","7868337.83539","7167779.90792","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Air TransportationAll Fuels","Air Transportation","","Notes","5438701.16118","5620603.28165","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Summary of Emissions by Sector Pre Life-Cycle","","","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Residential","Total","Direct Fuel Use","Metric Tons CO2e/","","Notes","7290.63893062","9551.19638103","12611.0403563","12247.8381995","12976.6603126","14288.5401162","16184.6865101","21576.7612472","24566.1408107","51753.623429","56056.0916959","65674.1257893","59989.3133071","61957.1330124","59768.2488735","40017.1696085","62756.4195373","65891.5635234","62102.8974351","92793.5617954","126168.165346","116388.314682","110269.359563","117202.604942","68632.6071975","48479.6003563","45478.0226767","48572.3133404","49515.2732687","49807.5607266","48097.9127551","47677.3055807","82856.2661502","43080.0835028","44079.9360712","43326.0831486","43596.6288536","53042.2456324","99821.9947243","69008.8691973","83928.8959466","84555.0388611","85490.9001863","70733.9327146","70935.6031974","70881.1863852","73606.3390064","64347.2503743","102962.505357","96070.1698211","94927.8563412","90955.7484744","119234.896064","92845.2195925","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
