"Metric 12: Transportation Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Distillate fuel oil","DFACB","Billion Btu","","","","-4085","-154","1222","-2107","1644","1558","881","-1184","64","-608","-574","573","-120","-1061","548","-2428","-1770","-1452","-12148","3235","-2050","6372","7815","-908","-10372","659","8873","-8921","-1245","-1192","-4099","7812","1082","-3192","3145","4398","3527","464","-4827","2584","-4821","-5091","-10818","-1008","8928","2562","-16653","20486","-2299","-5228","3564","955","1237","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","LPG","LGACB","Billion Btu","","","","-2","9","-3","-9","-1","-7","-26","8","-33","-28","23","-5","6","-12","1","9","-6","-65","115","-67","-113","55","-22","151","6","3","-2","-11","-2","-14","-4","-83","100","-19","25","23","0","4","3","0","0","0","-43","43","-57","-7","16","34","-11","4","-30","46","-14","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Lubricants","LUACB","Billion Btu","","","","3","-301","0","-21","-9","-17","73","-39","26","-8","47","-26","2","16","-80","-49","49","-33","-23","56","18","38","-18","-28","30","9","-52","16","-11","-13","49","-8","-8","-20","8","13","-24","-21","-5","7","40","5","32","-5","2","10","-13","29","37","-37","19","28","-18","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Motor Gasoline","MGACB","Billion Btu","","","","-576","-799","-318","-526","-1232","-1044","-1188","-1811","-1490","-2665","-1178","-1632","-2144","203","-1064","-1410","-1966","-1162","635","1202","285","-403","-6","-1472","-52","-1510","-1593","-1468","-1370","506","-1545","514","-704","-1263","-240","284","25","212","1462","-1719","-2386","-3554","-956","-670","-1456","-2850","1488","3537","-897","3916","-5989","4495","-453","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Residual fuel oil","RFACB","Billion Btu","","","","-2409","2507","-485","-1231","193","-1163","-911","-4855","-604","4082","-299","3190","-579","3777","-1496","-821","-2097","-645","2086","-1213","1322","1073","-2517","885","-1294","-195","2985","-3473","-3657","-2772","394","-7307","6933","-1774","1625","12419","1336","667","-8329","-3256","-2714","7674","3290","-3643","2339","-7884","-13136","21923","-1487","877","456","601","169","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Synthetic Natural Gas","NGACB","Billion Btu","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2","-1","1","-1","1","0","0","0","-1","2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Biofuels","","Billion Btu","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-21678.49475","-293616.12665","96859.1019","-71183.86495","-51721.8526","-40372.283732","381713.520782","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","Ethanol","EMACB","Billion Btu","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Biodiesel","-","Billion Btu","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-21678.49475","-293616.12665","96859.1019","-71183.86495","-51721.8526","-40372.283732","381713.520782","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","All","","Billion Btu","","","","-7069","1262","416","-3894","595","-673","-1171","-7881","-2037","773","-1981","2100","-2835","2923","-2091","-4699","-5790","-3357","-9335","3213","-538","7135","5252","-1372","-11682","-1034","10211","-13857","-6285","-3485","-5205","928","7403","-6268","4563","17137","4864","1326","-11696","-2384","-9881","-966","-8495","-5285","9755","-8168","-28299","46010","-4657","-468","-1980","6124","923","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
